NO_OF_FRAMES	3915
NO_OF_CAMERAS	20
NO_OF_BODIES	1
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2021-01-29, 17:17:45.381	3507.33998200
DATA_INCLUDED	6D
BODY_NAMES	Tiago_Base
BODY_FILTERS	No filter
Frame	Time	Tiago_Base X	Y	Z	Roll	Pitch	Yaw	Residual	Rot[0]	Rot[1]	Rot[2]	Rot[3]	Rot[4]	Rot[5]	Rot[6]	Rot[7]	Rot[8]	
117	1.16000	571.43714	186.09818	287.80032	0.45582	-0.24591	55.61729	0.29445	0.56471	0.82524	0.00899	-0.82528	0.56473	0.00095	-0.00429	-0.00796	0.99996	
118	1.17000	571.40586	186.12637	287.79281	0.44235	-0.24355	55.77784	0.28441	0.56240	0.82682	0.00877	-0.82686	0.56241	0.00083	-0.00425	-0.00772	0.99996	
119	1.18000	571.38997	186.13316	287.79125	0.44114	-0.24137	55.94062	0.27933	0.56005	0.82841	0.00874	-0.82845	0.56006	0.00082	-0.00421	-0.00770	0.99996	
120	1.19000	571.37572	186.16278	287.81092	0.44695	-0.24414	56.10222	0.27564	0.55771	0.82999	0.00885	-0.83003	0.55772	0.00081	-0.00426	-0.00780	0.99996	
121	1.20000	571.34707	186.19480	287.82967	0.44963	-0.24407	56.27411	0.26958	0.55522	0.83166	0.00889	-0.83170	0.55523	0.00081	-0.00426	-0.00785	0.99996	
122	1.21000	571.35690	186.23201	287.83522	0.45322	-0.24479	56.44675	0.27970	0.55271	0.83333	0.00895	-0.83336	0.55272	0.00081	-0.00427	-0.00791	0.99996	
123	1.22000	571.34104	186.25774	287.80534	0.45192	-0.24743	56.61978	0.27797	0.55019	0.83499	0.00896	-0.83503	0.55020	0.00073	-0.00432	-0.00789	0.99996	
124	1.23000	571.31274	186.30069	287.78014	0.44892	-0.24592	56.79180	0.28598	0.54768	0.83664	0.00891	-0.83668	0.54769	0.00070	-0.00429	-0.00783	0.99996	
125	1.24000	571.29678	186.31987	287.80195	0.45671	-0.24868	56.96180	0.28919	0.54519	0.83826	0.00905	-0.83830	0.54521	0.00071	-0.00434	-0.00797	0.99996	
126	1.25000	571.28301	186.34857	287.81867	0.45712	-0.24192	57.13461	0.27598	0.54266	0.83990	0.00899	-0.83994	0.54268	0.00078	-0.00422	-0.00798	0.99996	
127	1.26000	571.27165	186.38696	287.81132	0.45104	-0.24635	57.31283	0.28789	0.54005	0.84159	0.00895	-0.84162	0.54006	0.00063	-0.00430	-0.00787	0.99996	
128	1.27000	571.22580	186.42728	287.81697	0.45829	-0.23997	57.48450	0.27642	0.53752	0.84320	0.00900	-0.84324	0.53754	0.00077	-0.00419	-0.00800	0.99996	
129	1.28000	571.20147	186.45487	287.84367	0.45650	-0.23856	57.64285	0.27795	0.53519	0.84468	0.00896	-0.84472	0.53521	0.00075	-0.00416	-0.00797	0.99996	
130	1.29000	571.21545	186.49464	287.83640	0.45728	-0.23844	57.81342	0.26975	0.53267	0.84627	0.00897	-0.84631	0.53269	0.00073	-0.00416	-0.00798	0.99996	
131	1.30000	571.22605	186.52343	287.82939	0.44911	-0.23643	57.98573	0.27559	0.53013	0.84787	0.00883	-0.84791	0.53014	0.00066	-0.00413	-0.00784	0.99996	
